dataset,method,estimated_ate,true_ate,bias,absolute_bias,relative_error_pct,run,confounding_strength
simulation,Naive,0.0408481833403511,0.0339838077481055,0.0068643755922455,0.0068643755922455,20.198959584298603,0,0.0
simulation,OLS,0.0398376121279826,0.0339838077481055,0.005853804379877,0.005853804379877,17.225275117098516,0,0.0
simulation,IPW,0.0397782220899526,0.0339838077481055,0.005794414341847,0.005794414341847,17.050515306572894,0,0.0
simulation,DML,0.040179897381091,0.0339838077481055,0.0061960896329854,0.0061960896329854,18.23247612189923,0,0.0
simulation,Causal Forest,0.0399416660834808,0.0339838077481055,0.0059578583353752,0.0059578583353752,17.53146198194147,0,0.0
simulation,Naive,0.0687879470331868,0.0339597502784267,0.03482819675476,0.03482819675476,102.55728169145272,1,0.375
simulation,OLS,0.0392380215168941,0.0339597502784267,0.0052782712384673,0.0052782712384673,15.542726890487351,1,0.375
simulation,IPW,0.0398347162979077,0.0339597502784267,0.0058749660194809,0.0058749660194809,17.299791580661523,1,0.375
simulation,DML,0.0404904134912418,0.0339597502784267,0.006530663212815,0.006530663212815,19.23059845632533,1,0.375
simulation,Causal Forest,0.039435322305434,0.0339597502784267,0.0054755720270072,0.0054755720270072,16.123711105395415,1,0.375
simulation,Naive,0.1354390285292339,0.0340309755571317,0.1014080529721022,0.1014080529721022,297.9874990708301,2,0.75
simulation,OLS,0.0439965961321236,0.0340309755571317,0.0099656205749919,0.0099656205749919,29.2839697124212,2,0.75
simulation,IPW,0.045322674554373,0.0340309755571317,0.0112916989972413,0.0112916989972413,33.180650311610094,2,0.75
simulation,DML,0.0467325120647394,0.0340309755571317,0.0127015365076077,0.0127015365076077,37.323456937883535,2,0.75
simulation,Causal Forest,0.0440974278917391,0.0340309755571317,0.0100664523346074,0.0100664523346074,29.580263773830826,2,0.75
simulation,Naive,0.2126249938584756,0.0340310178092498,0.1785939760492257,0.1785939760492257,524.7976332952425,3,1.125
simulation,OLS,0.0451544553864908,0.0340310178092498,0.0111234375772409,0.0111234375772409,32.68617365366461,3,1.125
simulation,IPW,0.0479371055991547,0.0340310178092498,0.0139060877899048,0.0139060877899048,40.86297937913882,3,1.125
simulation,DML,0.0457220083768369,0.0340310178092498,0.011690990567587,0.011690990567587,34.3539256836725,3,1.125
