dataset,method,estimated_ate,true_ate,bias,absolute_bias,relative_error_pct,run,confounding_strength
simulation,Naive,0.176725405473505,0.03400466858443621,0.14272073688906878,0.14272073688906878,419.70924237853455,1,1.0
simulation,OLS,0.04078411412733215,0.03400466858443621,0.0067794455428959385,0.0067794455428959385,19.936808165214295,1,1.0
simulation,IPW,0.038077128736751266,0.03400466858443621,0.004072460152315056,0.004072460152315056,11.976179512536122,1,1.0
simulation,DML,0.04585231441237624,0.03400466858443621,0.011847645827940033,0.011847645827940033,34.841233045754926,1,1.0
simulation,Causal Forest,0.04162971513825756,0.03400466858443621,0.007625046553821353,0.007625046553821353,22.423528507233573,1,1.0
