dataset,method,estimated_ate,true_ate,bias,absolute_bias,relative_error_pct,run,confounding_strength
simulation,Naive,0.16917927416123096,0.03396109114898089,0.13521818301225008,0.13521818301225008,398.1561794321433,2,1.0
simulation,OLS,0.04314301891668682,0.03396109114898089,0.009181927767705933,0.009181927767705933,27.03661000592281,2,1.0
simulation,IPW,0.04747368140875611,0.03396109114898089,0.01351259025977522,0.01351259025977522,39.788445549343635,2,1.0
simulation,DML,0.041426659625121647,0.03396109114898089,0.007465568476140758,0.007465568476140758,21.982710871658156,2,1.0
simulation,Causal Forest,0.038967583293494576,0.03396109114898089,0.005006492144513687,0.005006492144513687,14.74184714075043,2,1.0
