dataset,method,estimated_ate,true_ate,bias,absolute_bias,relative_error_pct,run,confounding_strength
semi_synthetic,Naive,0.17239151355774027,0.03651697712072198,0.1358745364370183,0.1358745364370183,372.085936872126,4,1.5
semi_synthetic,OLS,0.16060088607690803,0.03651697712072198,0.12408390895618605,0.12408390895618605,339.7978659240477,4,1.5
semi_synthetic,IPW,0.16073461292214739,0.03651697712072198,0.1242176358014254,0.1242176358014254,340.164070511019,4,1.5
semi_synthetic,DML,0.16351121676624844,0.03651697712072198,0.12699423964552647,0.12699423964552647,347.76766769520503,4,1.5
semi_synthetic,Causal Forest,0.16060055152498917,0.03651697712072198,0.12408357440426719,0.12408357440426719,339.7969497695759,4,1.5
