dataset,method,estimated_ate,true_ate,bias,absolute_bias,relative_error_pct,run,confounding_strength
simulation,Naive,0.21262499385847564,0.034031017809249865,0.17859397604922578,0.17859397604922578,524.7976332952425,3,1.125
simulation,OLS,0.04515445538649081,0.034031017809249865,0.011123437577240942,0.011123437577240942,32.68617365366461,3,1.125
simulation,IPW,0.0479371055991547,0.034031017809249865,0.013906087789904834,0.013906087789904834,40.86297937913882,3,1.125
simulation,DML,0.04572200837683692,0.034031017809249865,0.011690990567587052,0.011690990567587052,34.3539256836725,3,1.125
simulation,Causal Forest,0.04592186043613983,0.034031017809249865,0.011890842626889962,0.011890842626889962,34.94119010351183,3,1.125
