dataset,method,estimated_ate,true_ate,bias,absolute_bias,relative_error_pct,run,confounding_strength
simulation,Naive,0.13543902852923395,0.0340309755571317,0.10140805297210226,0.10140805297210226,297.98749907083015,2,0.75
simulation,OLS,0.04399659613212361,0.0340309755571317,0.00996562057499191,0.00996562057499191,29.2839697124212,2,0.75
simulation,IPW,0.045322674554373076,0.0340309755571317,0.011291698997241376,0.011291698997241376,33.180650311610094,2,0.75
simulation,DML,0.04673251206473942,0.0340309755571317,0.012701536507607719,0.012701536507607719,37.323456937883535,2,0.75
simulation,Causal Forest,0.04409742789173915,0.0340309755571317,0.01006645233460745,0.01006645233460745,29.580263773830822,2,0.75
