dataset,method,estimated_ate,true_ate,bias,absolute_bias,relative_error_pct,run,confounding_strength
simulation,Naive,0.1699634460763306,0.03397882045631803,0.13598462562001257,0.13598462562001257,400.20407946423444,2,1.0
simulation,OLS,0.02820035385257911,0.03397882045631803,-0.005778466603738923,0.005778466603738923,-17.006083572463957,2,1.0
simulation,IPW,0.021094636211966743,0.03397882045631803,-0.012884184244351289,0.012884184244351289,-37.9182798911891,2,1.0
simulation,DML,0.035458327640405664,0.03397882045631803,0.001479507184087632,0.001479507184087632,4.354204072474011,2,1.0
simulation,Causal Forest,0.03152380455374391,0.03397882045631803,-0.0024550159025741244,0.0024550159025741244,-7.225135745162802,2,1.0
